ID,Name,City,State/Province,Country
0,North China Electric Power Univercity,Changping,Beijing,China
1,Sichuan University,Chengdu,Sichuan,China
2,"Shandong University, Shandong, China",Jinan,Shandong,China
3,Sun Yat-sen University,GuangZhou,GuangDong,China
4,BeiJing University Of Post And Telecommunication,Beijing,Beijing,China
5,"South China Normal University, Guangzhou, P.R. China",Guangzhou,Guangdong,China
6,Shanghai University of Finance and Economics,Shanghai,Shanghai,China
7,Nankai University,Tianjin,,China
8,BeiJing University Of Post And Telecommunication,BEIJING,BEIJING,China
9,Shanghai University of Electric Power,Shanghai,,China
10,Sun Yat-sen University,GuangZhou,GuangDong,China
11,Huazhong Agricultural University,Wuhan,Hubei,China
12,Southwest Jiaotong University,CHENGDU,SICHUAN,China
13,BNU-HKBU United International College,Zhuhai,Guangdong,China
14,Tianjin University of Commerce,Tianjin,China Mainland,China
15,High School Affiliated to People's University (RDFZ),Beijing,,China
16,Huazhong Agricultural University,Wuhan,Hubei,China
17,Huazhong Agricultural University,Wuhan,Hubei,China
18,Huazhong Agricultural University,Wuhan,Hubei,China
19,Huazhong Agricultural University,Wuhan,Hubei,China
20,Huazhong Agricultural University,Wuhan,Hubei,China
21,Huazhong Agricultural University,Wuhan,Hubei,China
22,Huazhong Agricultural University,Wuhan,Hubei,China
23,Huazhong Agricultural University,Wuhan,Hubei,China
24,Huazhong Agricultural University,Wuhan,Hubei,China
25,Southwestern University of Finance and Economics,Chengdu,Sichuan,China
26,Huazhong Agriculture University,WuHan,Hubei,China
27,Huazhong Agricultural University,Wuhan,Hubei,China
28,Huazhong Agricultural University,Wuhan,Hubei,China
29,Huazhong Agricultural University,Wuhan,Hubei,China
30,Huazhong Agricultural University,Wuhan,Hubei,China
31,Beihang Univeristy,Beijing,Beijing,China
32,shenyang jianzhu university,shenyang,Liaoning,China
33,shenyang jianzhu university,shenyang,liaoning,China
34,shenyang jianzhu university,shenyang,liaoning,China
35,shenyang jianzhu university,shenyang,liaoning,China
36,shenyang jianzhu university,shenyang,liaoning,China
37,shenyang jianzhu university,shenyang,liaoning,China
38,shenyang jianzhu university,shenyang,liaoning,China
39,shenyang jianzhu university,shenyang,liaoning,China
40,shenyang jianzhu university,shenyang,liaoning,China
41,shenyang jianzhu university,shenyang,liaoning,China
42,shenyang jianzhu university,shenyang,liaoning,China
43,Idaho State University,Pocatello,ID,USA
44,Idaho State University,Pocatello,ID,USA
45,Huazhong Agricultural University,Wuhan,Hubei,China
46,Huazhong Agricultural University,Wuhan,Hubei,China
47,University of Science and Technology of China,Hefei,Anhui,China
48,Nankai University,Tianjin,Tianjin,China
49,Nankai University,Tianjin Province,,China
50,Northwestern Polytechnical University,Xi'an,Shaanxi,China
51,Northwestern Polytechnical University,Xi'an,Shaanxi,China
52,Northwestern Polytechnical University,Xi'an,Shaanxi,China
53,Nankai University,Tianjin,,China
54,Northwestern Polytechnical University,Xi'an,Shaanxi,China
55,Northwestern Polytechnical University,Xi'an,Shaanxi,China
56,Northwestern Polytechnical University,Xi'an,Shaanxi,China
57,Northwestern Polytechnical University,Xi'an,Shaanxi,China
58,Northwestern Polytechnical University,Xi'an,Shaanxi,China
59,Northwestern Polytechnical University,Xi'an,Shaanxi,China
60,Northwestern Polytechnical University,Xi'an,Shaanxi,China
61,Northwestern Polytechnical University,Xi'an,Shaanxi,China
62,Northwestern Polytechnical University,Xi'an,Shaanxi,China
63,Northwestern Polytechnical University,Xi'an,Shaanxi,China
64,Northwestern Polytechnical University,Xi'an,Shaanxi,China
65,Northwestern Polytechnical University,Xi'an,Shaanxi,China
66,Northwestern Polytechnical University,Xi'an,Shaanxi,China
67,Northwestern Polytechnical University,Xi'an,Shaanxi,China
68,Northwestern Polytechnical University,Xi'an,Shaanxi,China
69,Northwestern Polytechnical University,Xi'an,Shaanxi,China
70,Northwestern Polytechnical University,Xi'an,Shaanxi,China
71,Northwestern Polytechnical University,Xi'an,Shaanxi,China
72,Northwestern Polytechnical University,Xi'an,Shaanxi,China
73,Northwestern Polytechnical University,Xi'an,Shaanxi,China
74,Northwestern Polytechnical University,Xi'an,Shaanxi,China
75,Northwestern Polytechnical University,Xi'an,Shaanxi,China
76,Northwestern Polytechnical University,Xi'an,Shaanxi,China
77,Huazhong Agricultural University,Wuhan,Hubei,China
78,Huazhong Agricultural University,Wuhan,Hubei,China
79,Huazhong Agriculture University,WuHan,Hubei,China
80,Huazhong Agricultural University,Wuhan,Hubei,China
81,Huazhong Agricultural University,Wuhan,Hubei,China
82,Tongji University,shanghai,Shanghai,China
83,SUN YAT-SEN UNIVERSITY,GUANG ZHOU,,China
84,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China
85,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China
86,Tongji University,Shanghai,Shanghai,China
87,Wuhan University,Wuhan,Hubei,China
88,Huazhong Agricultural University,Wuhan,Hubei,China
89,Huazhong Agricultural University,Wuhan,Hubei,China
90,Fudan University,Shanghai,,China
91,Fudan University,Shanghai,,China
92,Fudan University,Shanghai,,China
93,Shanxi University,Taiyuan,Shanxi,China
94,Sun Yat-Sen University,Guangzhou,Guangdong,China
95,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,SHANGHAI,SHANGHAI,China
96,South-Central University for Nationalities,WuHan,HuBei,China
97,Chongqing University,Chongqing,Chongqing,China
98,Southwestern University of Finance and Economics,Chengdu,Sichuan,China
99,Sun Yat-Sen University,Guangzhou,Guangdong,China
100,Shenyang jianzhu University,Shenyang,Liaoning,China
101,Shenyang jianzhu University,Shenyang,Liaoning,China
102,Shenyang jianzhu University,Shenyang,Liaoning,China
103,Shenyang jianzhu University,Shenyang,Liaoning,China
104,Shenyang jianzhu University,Shenyang,Liaoning,China
105,Shenyang jianzhu University,Shenyang,Liaoning,China
106,Shenyang jianzhu University,Shenyang,Liaoning,China
107,Shenyang jianzhu University,Shenyang,Liaoning,China
