ID,Advisor,Problem,Ranking,InstitutionID
32081,Anjia Mao,A,Successful Participant,0
32082,Jie Zhou,B,Successful Participant,1
32084,Shuxiang Huang,A,Honorable Mention,2
32085,Lin Zhang,A,Successful Participant,3
32086,Hua Tian,A,Successful Participant,4
32087,Liuqiang Zhong,D,Successful Participant,5
32088,Chengdong Dong,A,Successful Participant,6
32089,Hongmei Zhao,B,Meritorious,7
32090,ZHENZHEN CHEN,B,Successful Participant,4
32091,Yuan Sun,C,Successful Participant,9
32092,Lin Zhang,A,Honorable Mention,3
32094,Jinying Tan,B,Successful Participant,11
32095,Ping He,A,Successful Participant,12
32096,Ming Ying Lisa Chu,A,Honorable Mention,13
32097,JINGJIE LI,A,Successful Participant,14
32098,Andriy Bolyachevets,D,Successful Participant,15
32099,Hong Fang,D,Honorable Mention,11
32100,Luwei Ding,B,Successful Participant,11
32101,Zhi Li,A,Successful Participant,11
32102,Zhibin Pan,D,Finalist,11
32103,Yanling Xu,D,Meritorious,11
32104,Hong Fang,A,Successful Participant,11
32105,Zhi Li,A,Successful Participant,11
32106,Luwei Ding,C,Honorable Mention,11
32107,Feng Liu,A,Meritorious,11
32108,Yipin Zhao,D,Successful Participant,25
32109,xin long Ren,D,Meritorious,26
32110,Xuehai Hu,A,Successful Participant,11
32111,Jinying Tan,C,Honorable Mention,11
32112,Zhimin Hou,A,Honorable Mention,11
32113,Feng Liu,A,Successful Participant,11
32114,Haiyang Huang,A,Successful Participant,31
32115,Qicheng Xu,A,Successful Participant,32
32116,Qicheng Xu,A,Successful Participant,32
32118,ping sun,A,Successful Participant,32
32119,Zhengyu Li,A,Successful Participant,32
32120,Housheng Xu,A,Successful Participant,32
32121,Yanling Sun,A,Successful Participant,32
32122,Youlin Ye,A,Successful Participant,32
32123,Fusheng Kou,A,Successful Participant,32
32124,Xin Jing,A,Successful Participant,32
32125,Hongmei Yan,A,Successful Participant,32
32126,Changchun Sun,A,Successful Participant,32
32127,DeWayne R Derryberry,B,Successful Participant,43
32128,DeWayne R Derryberry,B,Successful Participant,43
32129,Qiang Zhu,B,Successful Participant,11
32130,Qiang Zhu,A,Honorable Mention,11
32131,Kai Xing,A,Honorable Mention,47
32132,Liuling Li,A,Successful Participant,7
32133,Chao Wang,B,Meritorious,7
32134,Wei Lin,C,Honorable Mention,50
32135,Xiaole Yue,C,Meritorious,50
32136,Xiao Huayong,C,Meritorious,50
32137,Xingwei Wang,B,Successful Participant,7
32138,Quanyi Lv,C,Honorable Mention,50
32139,Yong Wang,C,Honorable Mention,50
32140,Junqiang Han,C,Honorable Mention,50
32141,Lulu Pan,D,Meritorious,50
32142,Dongshuang Hou,D,Meritorious,50
32143,Genjiu Xu,D,Honorable Mention,50
32144,Youming Lei,D,Meritorious,50
32145,Ying Zhang,D,Meritorious,50
32146,Rong Ma,D,Finalist,50
32147,Li Wang,D,Meritorious,50
32148,Bingchang Zhou,C,Finalist,50
32149,Liang Wang,A,Honorable Mention,50
32150,Ligong Wang,A,Outstanding Winner,50
32151,Weidong Yan,A,Honorable Mention,50
32152,Xuewei Cui,D,Meritorious,50
32153,Xiaohong An,A,Honorable Mention,50
32154,Mei Yu,B,Meritorious,50
32155,Yaning Tang,A,Successful Participant,50
32156,Xiaodong Wang,A,Honorable Mention,50
32157,Junfeng Zhao,B,Successful Participant,50
32158,Hongwei She,B,Successful Participant,50
